number,cv_r2,state,datetime_start,datetime_complete,best_so_far
37,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.619425,2026-04-26 11:19:20.299753,0.7073174361431712
38,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.643767,2026-04-26 11:19:20.303636,0.7073174361431712
39,0.7073174361431712,COMPLETE,2026-04-26 11:19:19.673194,2026-04-26 11:19:20.348073,0.7073174361431712
40,0.7073174361431712,COMPLETE,2026-04-26 11:19:20.262106,2026-04-26 11:19:20.951386,0.7073174361431712
41,0.7073174361431712,COMPLETE,2026-04-26 11:19:20.268174,2026-04-26 11:19:20.943304,0.7073174361431712
42,0.7073174361431712,COMPLETE,2026-04-26 11:19:20.279018,2026-04-26 11:19:20.936769,0.7073174361431712
43,0.7073174361431712,COMPLETE,2026-04-26 11:19:20.291436,2026-04-26 11:19:20.968759,0.7073174361431712
44,0.6712589842688016,COMPLETE,2026-04-26 11:19:20.301995,2026-04-26 11:19:20.980025,0.7073174361431712
45,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.306133,2026-04-26 11:19:20.989306,0.7073174361431712
46,0.6712589842688016,COMPLETE,2026-04-26 11:19:20.314382,2026-04-26 11:19:20.983874,0.7073174361431712
47,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.350862,2026-04-26 11:19:21.022554,0.7073174361431712
48,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.939234,2026-04-26 11:19:21.608493,0.7073174361431712
49,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.945303,2026-04-26 11:19:21.603227,0.7073174361431712
50,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.956089,2026-04-26 11:19:21.610926,0.7073174361431712
51,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.971388,2026-04-26 11:19:21.648937,0.7073174361431712
52,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.982127,2026-04-26 11:19:21.646498,0.7073174361431712
53,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.986170,2026-04-26 11:19:21.641954,0.7073174361431712
54,0.6971133401229456,COMPLETE,2026-04-26 11:19:20.992777,2026-04-26 11:19:21.666327,0.7073174361431712
55,0.6971133401229456,COMPLETE,2026-04-26 11:19:21.026262,2026-04-26 11:19:21.702965,0.7073174361431712
56,0.6971133401229456,COMPLETE,2026-04-26 11:19:21.605718,2026-04-26 11:19:22.276903,0.7073174361431712
57,0.44508783163684706,COMPLETE,2026-04-26 11:19:21.613142,2026-04-26 11:19:22.281472,0.7073174361431712
58,0.6971133401229456,COMPLETE,2026-04-26 11:19:21.615721,2026-04-26 11:19:22.286959,0.7073174361431712
59,0.7073174361431712,COMPLETE,2026-04-26 11:19:21.645343,2026-04-26 11:19:22.347647,0.7073174361431712
60,0.5089648738958132,COMPLETE,2026-04-26 11:19:21.652510,2026-04-26 11:19:22.325285,0.7073174361431712
61,0.44508783163684706,COMPLETE,2026-04-26 11:19:21.655745,2026-04-26 11:19:22.343136,0.7073174361431712
62,0.5089648738958132,COMPLETE,2026-04-26 11:19:21.669636,2026-04-26 11:19:22.362717,0.7073174361431712
63,0.44508783163684706,COMPLETE,2026-04-26 11:19:21.706348,2026-04-26 11:19:22.378368,0.7073174361431712
64,0.5089648738958132,COMPLETE,2026-04-26 11:19:22.279966,2026-04-26 11:19:22.933771,0.7073174361431712
65,0.7073174361431712,COMPLETE,2026-04-26 11:19:22.285559,2026-04-26 11:19:22.969701,0.7073174361431712
66,0.5089648738958132,COMPLETE,2026-04-26 11:19:22.290020,2026-04-26 11:19:22.962686,0.7073174361431712
67,0.7073174361431712,COMPLETE,2026-04-26 11:19:22.328752,2026-04-26 11:19:23.002963,0.7073174361431712
68,0.7073174361431712,COMPLETE,2026-04-26 11:19:22.345884,2026-04-26 11:19:23.023508,0.7073174361431712
69,0.7073174361431712,COMPLETE,2026-04-26 11:19:22.350824,2026-04-26 11:19:23.029193,0.7073174361431712
70,0.7073174361431712,COMPLETE,2026-04-26 11:19:22.367024,2026-04-26 11:19:23.057867,0.7073174361431712
71,0.7073174361431712,COMPLETE,2026-04-26 11:19:22.383021,2026-04-26 11:19:23.076802,0.7073174361431712
72,0.7073174361431712,COMPLETE,2026-04-26 11:19:22.937914,2026-04-26 11:19:23.593194,0.7073174361431712
73,0.6810178133630446,COMPLETE,2026-04-26 11:19:22.965981,2026-04-26 11:19:23.639482,0.7073174361431712
74,0.6810178133630446,COMPLETE,2026-04-26 11:19:22.973243,2026-04-26 11:19:23.644571,0.7073174361431712
75,0.6810178133630446,COMPLETE,2026-04-26 11:19:23.009421,2026-04-26 11:19:23.681428,0.7073174361431712
76,0.6810178133630446,COMPLETE,2026-04-26 11:19:23.026805,2026-04-26 11:19:23.685982,0.7073174361431712
77,0.6810178133630446,COMPLETE,2026-04-26 11:19:23.034377,2026-04-26 11:19:23.676439,0.7073174361431712
78,0.6810178133630446,COMPLETE,2026-04-26 11:19:23.061588,2026-04-26 11:19:23.749690,0.7073174361431712
79,0.6810178133630446,COMPLETE,2026-04-26 11:19:23.079833,2026-04-26 11:19:23.754059,0.7073174361431712
80,0.6810178133630446,COMPLETE,2026-04-26 11:19:23.597751,2026-04-26 11:19:24.300344,0.7073174361431712
81,0.6810178133630446,COMPLETE,2026-04-26 11:19:23.643910,2026-04-26 11:19:24.359125,0.7073174361431712
82,0.7073174361431712,COMPLETE,2026-04-26 11:19:23.647446,2026-04-26 11:19:24.337349,0.7073174361431712
