number,cv_r2,state,datetime_start,datetime_complete,best_so_far
68,0.6504170589838281,COMPLETE,2026-05-02 06:20:37.629135,2026-05-02 06:20:44.034407,0.6504170589838281
69,0.6504170589838281,COMPLETE,2026-05-02 06:20:37.987442,2026-05-02 06:20:44.782795,0.6504170589838281
70,0.6504170589838281,COMPLETE,2026-05-02 06:20:37.994723,2026-05-02 06:20:44.840823,0.6504170589838281
71,0.6504170589838281,COMPLETE,2026-05-02 06:20:39.285269,2026-05-02 06:20:46.115505,0.6504170589838281
72,0.6504170589838281,COMPLETE,2026-05-02 06:20:42.711063,2026-05-02 06:20:49.561297,0.6504170589838281
73,0.5601149821832234,COMPLETE,2026-05-02 06:20:42.772784,2026-05-02 06:20:49.475361,0.6504170589838281
74,0.6504170589838281,COMPLETE,2026-05-02 06:20:43.433298,2026-05-02 06:20:49.998852,0.6504170589838281
75,0.5948719181169043,COMPLETE,2026-05-02 06:20:43.946372,2026-05-02 06:20:50.697409,0.6504170589838281
76,0.5948719181169043,COMPLETE,2026-05-02 06:20:44.037597,2026-05-02 06:20:51.167447,0.6504170589838281
77,0.5948719181169043,COMPLETE,2026-05-02 06:20:44.785702,2026-05-02 06:20:51.565098,0.6504170589838281
78,0.5948719181169043,COMPLETE,2026-05-02 06:20:44.843610,2026-05-02 06:20:51.577008,0.6504170589838281
79,0.5948719181169043,COMPLETE,2026-05-02 06:20:46.118595,2026-05-02 06:20:53.345668,0.6504170589838281
80,0.5948719181169043,COMPLETE,2026-05-02 06:20:49.479127,2026-05-02 06:20:56.030685,0.6504170589838281
81,0.5948719181169043,COMPLETE,2026-05-02 06:20:49.564598,2026-05-02 06:20:56.087638,0.6504170589838281
82,0.5948719181169043,COMPLETE,2026-05-02 06:20:50.002591,2026-05-02 06:20:56.803303,0.6504170589838281
83,0.36856381928037535,COMPLETE,2026-05-02 06:20:50.702190,2026-05-02 06:20:57.219375,0.6504170589838281
84,0.392051451797488,COMPLETE,2026-05-02 06:20:51.171411,2026-05-02 06:20:57.307183,0.6504170589838281
85,0.5592836436925824,COMPLETE,2026-05-02 06:20:51.568900,2026-05-02 06:20:58.291606,0.6504170589838281
86,0.562283749309574,COMPLETE,2026-05-02 06:20:51.581213,2026-05-02 06:20:58.691741,0.6504170589838281
87,0.392051451797488,COMPLETE,2026-05-02 06:20:53.350001,2026-05-02 06:20:59.789282,0.6504170589838281
88,0.392051451797488,COMPLETE,2026-05-02 06:20:56.034405,2026-05-02 06:21:03.626733,0.6504170589838281
89,0.562283749309574,COMPLETE,2026-05-02 06:20:56.091844,2026-05-02 06:21:02.807128,0.6504170589838281
90,0.562283749309574,COMPLETE,2026-05-02 06:20:56.807838,2026-05-02 06:21:03.526447,0.6504170589838281
91,0.6145242030932556,COMPLETE,2026-05-02 06:20:57.223654,2026-05-02 06:21:04.024536,0.6504170589838281
92,0.6145242030932556,COMPLETE,2026-05-02 06:20:57.311465,2026-05-02 06:21:03.965642,0.6504170589838281
93,0.6145242030932556,COMPLETE,2026-05-02 06:20:58.295837,2026-05-02 06:21:05.251106,0.6504170589838281
94,0.6145242030932556,COMPLETE,2026-05-02 06:20:58.695896,2026-05-02 06:21:05.260303,0.6504170589838281
95,0.6504170589838281,COMPLETE,2026-05-02 06:20:59.792979,2026-05-02 06:21:06.242960,0.6504170589838281
96,0.6504170589838281,COMPLETE,2026-05-02 06:21:02.810827,2026-05-02 06:21:09.149430,0.6504170589838281
97,0.6504170589838281,COMPLETE,2026-05-02 06:21:03.532452,2026-05-02 06:21:10.033472,0.6504170589838281
98,0.6504170589838281,COMPLETE,2026-05-02 06:21:03.631328,2026-05-02 06:21:10.380432,0.6504170589838281
99,0.6504170589838281,COMPLETE,2026-05-02 06:21:03.972381,2026-05-02 06:21:10.416206,0.6504170589838281
